Ano,Yield_obs,DOY_semeadura,DOY_maturacao,ARM_F1,ARM_F2,ARM_F3,ARM_F4,Altitude_F1,Amp_F1,Amp_F2,Amp_F3,Amp_F4,Chuva_F1,Chuva_F2,Chuva_F3,Chuva_F4,DEF_F1,DEF_F2,DEF_F3,DEF_F4,ETR_F1,ETR_F2,ETR_F3,ETR_F4,ETc_F1,ETc_F2,ETc_F3,ETc_F4,EXC_F1,EXC_F2,EXC_F3,EXC_F4,ISNA_F1,ISNA_F2,ISNA_F3,ISNA_F4,Latitude_F1,Longitude_F1,PA_F1,PA_F2,PA_F3,PA_F4,Pefetiva_F1,Pefetiva_F2,Pefetiva_F3,Pefetiva_F4,T_DEF_F1,T_DEF_F2,T_DEF_F3,T_DEF_F4,Tmax_F1,Tmax_F2,Tmax_F3,Tmax_F4,Tmed_F1,Tmed_F2,Tmed_F3,Tmed_F4,Tmin_F1,Tmin_F2,Tmin_F3,Tmin_F4,UR_F1,UR_F2,UR_F3,UR_F4,lat_lon_F1
2007,3296.0,36,135,22.741333333333323,35.002837019457864,28.081445327214563,42.8889435309606,465.0,9.272941176470589,9.611785714285713,11.168787878787882,10.366818181818184,110.42,131.16,111.71,171.22,2.3883967294519755,9.076954254710548,36.829554546340844,5.226938158899404,17.75820698834361,68.32966454194819,91.11006651492754,34.81324305663082,20.146603717795585,77.40661879665875,127.93962106126838,40.04018121553022,77.13112634498974,50.56883177192727,27.521325177315767,121.59925873962317,0.8814491631985447,0.8827367168878025,0.7121333153808254,0.8694576797551543,-25.246105072875647,-53.76180440415664,9036.921646977004,7447.37299464869,6375.447708102744,6208.99456081966,5.4808245373122375,1.694428745745209,0.8731462472169097,4.276204422710994,69.017640784899,264.9011846155973,1091.0030103733623,124.90481494984523,28.897058823529413,29.18392857142857,29.623030303030305,23.89636363636364,24.26058823529412,24.37803571428572,24.038636363636364,18.712954545454547,19.624117647058824,19.572142857142858,18.454242424242423,13.529545454545454,81.29235294117647,80.52035714285715,77.82787878787879,84.69363636363636,1357.2761628947273
2007,3296.0,46,145,22.741333333333323,14.451884024920512,33.68067247871068,47.22540544370949,465.0,8.871176470588235,10.802857142857142,10.39030303030303,9.77818181818182,125.16,80.25,216.36,167.13,1.5971267824630584,23.787860830954777,18.92957467487294,4.740613945647858,17.658154111773143,56.10303996846798,86.43238582035801,28.184409591225105,19.2552808942362,79.89090079942275,105.36196049523096,32.92502353687296,90.26989319481292,32.436409339944824,110.6988257258518,125.40085744377608,0.9170551293831744,0.7022456801347439,0.820337676084437,0.8560179026041148,-25.246105072875647,-53.76180440415664,8389.724014760648,4642.609162952253,4225.558187328409,4103.87724123243,6.500035013120214,1.004494869841045,2.0534925411699527,5.076078375853853,45.86196530159803,715.5133668013723,520.6952369582549,103.68369146488092,28.71529411764706,30.078928571428573,27.506969696969698,21.87136363636364,24.279705882352943,24.6775,22.311818181818182,16.98227272727273,19.844117647058823,19.27607142857143,17.116666666666667,12.09318181818182,83.79176470588236,76.96107142857143,81.8521212121212,85.77636363636363,1357.2761628947273
2007,3296.0,56,155,18.438097431085,40.12405140537454,41.02060834314409,42.70430878715791,465.0,10.136470588235284,10.79571428571428,10.358181818181817,10.269545454545453,66.53999999999999,123.55,215.25,114.92,2.0301999659645613,19.327653694980377,15.832413087914285,2.3954163934778574,18.5931697692521,50.50160914274059,78.9479878603762,25.196728804062715,20.62336973521666,69.82926283772098,94.78040094829048,27.59214519754057,36.71939946632956,51.36243688296988,135.40545520185424,88.03957075192348,0.9015582811135964,0.7232155559210657,0.8329568884546923,0.9131848438630508,-25.246105072875647,-53.76180440415664,7217.398456281465,4220.903027154429,3868.366639560986,3801.200068799296,3.2264368458843884,1.7693155416393669,2.2710391372730565,4.164953437916941,61.49236849851836,568.5229334378478,406.1301819106158,45.95824116013949,30.28882352941176,29.415,25.651818181818182,19.18590909090909,25.22058823529412,24.017142857142854,20.472727272727276,14.051136363636363,20.152352941176478,18.61928571428572,15.293636363636365,8.916363636363636,78.87235294117647,77.94464285714285,82.98424242424242,84.84454545454545,1357.2761628947273
2007,3296.0,64,163,17.57896335086357,36.65255237571064,49.92,33.8835804048989,465.0,9.893529411764707,10.998928571428568,10.093636363636364,11.10227272727273,70.52000000000001,108.97,271.13,18.71,3.670898468904345,13.52228950163098,15.078616229322446,4.390966303074856,14.22816687585688,52.455881376821225,65.7918464771474,24.624260553646163,17.899065344761226,65.9781708784522,80.87046270646985,29.01522685672102,43.845746654943305,37.44052959833171,192.07070589856323,10.122159041454935,0.7949111644548099,0.7950490393778525,0.8135460621258928,0.8486668284636301,-25.246105072875647,-53.76180440415664,6405.675949192972,4436.401790361043,4022.8094984587647,3901.052594481085,3.9398705262920393,1.6516068655608713,3.352645588094414,0.6448338347444649,106.10192186357877,400.88758983228126,369.40782050781894,84.80752235634259,28.90352941176471,29.64642857142857,24.49878787878788,19.31409090909091,23.956764705882357,24.146964285714287,19.45196969696969,13.762954545454546,19.01,18.6475,14.405151515151516,8.211818181818181,79.01,78.12607142857144,84.68333333333334,83.26818181818182,1357.2761628947273
2007,3296.0,74,173,9.589756800092148,42.90546680841012,36.21217877773322,23.04870129568123,465.0,11.058823529411764,10.258571428571429,10.434848484848482,10.814545454545453,53.87,215.51,168.42000000000002,6.550000000000001,5.781275139186051,9.217040200081314,11.692849179505693,10.658015377441934,12.518084339184192,47.17731143841172,57.35050696993556,19.71347748205199,18.29935947837024,56.39435163849304,69.04335614944125,30.371492859493923,38.97282552739033,135.01697855327032,117.76278106074136,0.0,0.684072267883502,0.8365609332798845,0.8306448320067604,0.6490783173962319,-25.246105072875647,-53.76180440415664,5540.580027351257,4182.259184213654,3828.115580846768,3559.441828680278,2.9438188841349393,3.821482005529425,2.439336807953867,0.21566276081001118,171.7582836351357,255.17704973932263,253.21396391364098,236.20584352633472,29.709411764705884,27.685357142857143,21.655454545454543,22.162272727272725,24.18,22.556071428571432,16.438030303030303,16.755,18.65058823529412,17.426785714285714,11.22060606060606,11.347727272727273,76.92,81.15964285714287,84.59212121212121,83.52454545454545,1357.2761628947273
2007,3296.0,84,183,19.10839880195995,49.91999999999997,29.784006274515523,16.703449469404326,465.0,11.285294117647062,10.180714285714284,10.65939393939394,11.337727272727276,67.32000000000001,213.74,117.45,1.05,4.19273493066631,11.721519923724076,8.878705810239746,16.03533373722,12.716684918823375,39.36738456679525,51.01615554192938,14.130556805111196,16.909419849489687,51.088904490519326,59.89486135216912,30.1658905423312,41.07827572343342,143.56101423516472,86.56983818355508,0.0,0.75204738140127,0.7705662307576148,0.851761810449233,0.4684282993496269,-25.246105072875647,-53.76180440415664,5109.317527443989,3350.942559577501,3102.5737304173103,2772.72565156309,3.981212874197554,4.183687282620519,1.960936169622613,0.034807525358038265,127.75756596673267,310.4695727225258,178.84942122117482,352.68987676209156,30.471176470588237,26.487142857142857,20.143636363636364,21.994545454545456,24.82852941176471,21.39678571428572,14.813939393939394,16.325681818181817,19.185882352941174,16.306428571428572,9.484242424242424,10.65681818181818,76.58529411764707,83.26285714285714,84.59939393939395,82.0290909090909,1357.2761628947273
2008,3595.0,36,135,8.184736892091951,24.3070311951405,42.50743024775518,40.0451948795378,465.0,12.485882352941175,11.362142857142857,12.476363636363637,11.032727272727277,44.34,118.58,96.2,90.63,7.723748144408595,15.62951148437983,59.526418731657074,3.5312522642764708,15.805572249497589,65.96999458604714,62.090397141751005,34.868636973713265,23.529320393906183,81.59950607042697,121.61681587340809,38.39988923798974,25.37950328073684,36.48771111090432,15.909203805634323,58.22359839450412,0.6717394291418229,0.8084607096654447,0.5105412166552806,0.9080400403659776,-25.246105072875647,-53.76180440415664,8038.808196679433,5729.186770988055,4327.0863777468185,4247.502640020713,1.8844573178358157,1.453195070784569,0.7910090336531698,2.3601630577188755,245.57884394210197,463.4875811008966,1737.4679329248306,80.16905708706938,31.795294117647057,29.654642857142857,29.188181818181818,22.702727272727277,25.55235294117647,23.97357142857143,22.95,17.186363636363637,19.30941176470588,18.2925,16.71181818181818,11.67,67.17764705882352,74.05499999999999,70.72575757575757,80.82409090909091,1357.2761628947273
2008,3595.0,46,145,20.08233530198316,12.671865020533373,49.92,26.039306104261783,465.0,10.681176470588234,12.8275,11.905151515151513,12.062272727272727,77.24,57.870000000000005,171.03,5.69,4.1844298220606575,26.17910626412718,38.7429176710918,8.609679653334108,17.087873613701408,55.89939235090297,61.98845311182669,29.570693895738216,21.272303435762066,82.07849861503016,100.7313707829185,38.18037354907233,45.60449686787196,9.38107793054681,71.79341190870667,0.0,0.8032921148056782,0.6810479394011079,0.6153837938472527,0.7744998580941517,-25.246105072875647,-53.76180440415664,7971.037558708631,4157.469277016709,3357.954246755324,3206.5104149239896,3.6310125150879284,0.7050567563549816,1.697882185764937,0.14902944814530897,129.4908729876277,803.3713234804029,1045.6948284989319,202.1904996770485,30.94588235294118,30.6875,26.99060606060606,23.48409090909091,25.60529411764706,24.27375,21.038030303030304,17.452954545454546,20.264705882352946,17.86,15.085454545454546,11.421818181818182,72.69529411764705,70.655,73.94848484848485,79.0281818181818,1357.2761628947273
2008,3595.0,56,155,22.741333333333323,7.277554320892935,35.514096693345,49.92,465.0,10.829411764705881,13.774642857142851,10.615757575757577,12.25727272727272,91.8,24.91,171.15,44.74,5.298372902054422,37.52945225085131,10.932577260764296,13.858881412553073,14.310396555198054,40.37377901244039,70.38653465158488,23.851692150569992,19.608769457252475,77.9032312632917,81.31911191234917,37.71057356312306,59.80900942460225,0.0,72.52692297596305,6.482404542775011,0.7297957470709734,0.518255512097926,0.8655595590794435,0.6324934864924571,-25.246105072875647,-53.76180440415664,6934.53899633823,1923.5250898963457,1794.225309292637,1662.3474117196108,4.681578831355323,0.31975567118404863,2.104671287906786,1.186404654522438,157.0094892275268,1152.569688751055,262.1300736911255,329.41301219328415,29.633529411764705,30.711071428571422,23.976969696969697,23.769090909090902,24.218823529411765,23.82375,18.66909090909091,17.640454545454546,18.804117647058824,16.93642857142857,13.36121212121212,11.511818181818182,74.5635294117647,66.47428571428571,80.96515151515152,77.68136363636364,1357.2761628947273
2008,3595.0,65,164,16.399288767741012,49.91999999999997,22.55052042363014,49.92,465.0,12.63647058823529,13.035,11.217575757575755,11.54363636363637,49.07,80.64,104.36,97.77,3.3417456705361257,24.922889051187656,15.487828821590451,8.45547363426939,16.25734578136187,38.933008766024976,64.91402765402036,23.473843986557988,19.599091451898,63.85589781721263,80.40185647561081,31.92931762082738,21.727733330095624,8.18628000171606,66.81545192234947,46.92667643707215,0.829494868232144,0.6097010628128763,0.8073697610914177,0.7351815114033656,-25.246105072875647,-53.76180440415664,6677.523174617566,2768.177877474129,2501.560494534482,2369.068600675348,2.5036874857404676,1.2628434139448141,1.2979799792515572,3.062076088222599,100.3644168826841,744.7048258812912,365.50806690807354,189.83691328066732,30.033529411764704,29.880357142857143,23.599696969696968,22.45136363636364,23.715294117647066,23.36285714285714,17.990909090909092,16.679545454545455,17.397058823529413,16.845357142857143,12.382121212121213,10.907727272727271,72.07117647058824,68.50142857142858,80.60545454545455,79.59045454545455,1357.2761628947273
