Fase,Tmin,Tmax,Tmed,Chuva,UR,ETc,ETR,ARM,DEF,EXC,N,PP,Data semeadura,Data maturação,ISNA,PA,Municipio,Ano
1,19.624117647058824,28.897058823529413,24.26058823529412,110.42,81.29235294117647,20.146603717795585,17.75820698834361,22.741333333333323,2.3883967294519755,77.13112634498974,12.872307117599497,2035.916432301079,2007-02-05,2007-05-15,0.8814491631985447,9036.921646977005,Céu Azul,2007
2,19.572142857142858,29.18392857142857,24.378035714285716,131.16,80.52035714285715,77.40661879665875,68.32966454194819,35.002837019457864,9.076954254710548,50.56883177192727,12.33851989303306,3107.3952820891004,2007-02-05,2007-05-15,0.8827367168878025,7447.37299464869,Céu Azul,2007
3,18.454242424242423,29.623030303030305,24.038636363636364,111.71000000000001,77.82787878787879,127.93962106126838,91.11006651492754,28.081445327214563,36.829554546340844,27.521325177315767,11.576310015625252,3074.1889141503757,2007-02-05,2007-05-15,0.7121333153808254,6375.4477081027435,Céu Azul,2007
4,13.529545454545454,23.89636363636364,18.712954545454547,171.22,84.69363636363636,40.04018121553022,34.81324305663082,42.888943530960596,5.226938158899404,121.59925873962317,10.951497206388057,1269.2876962199023,2007-02-05,2007-05-15,0.8694576797551543,6208.99456081966,Céu Azul,2007
1,19.844117647058823,28.71529411764706,24.279705882352943,125.16,83.79176470588236,19.2552808942362,17.658154111773143,22.741333333333323,1.5971267824630584,90.26989319481292,12.643970015782946,1974.1500024401014,2007-02-15,2007-05-25,0.9170551293831744,8389.724014760648,Céu Azul,2007
2,19.27607142857143,30.078928571428573,24.677500000000002,80.25,76.96107142857143,79.89090079942275,56.10303996846798,14.451884024920512,23.787860830954777,32.436409339944824,12.088251939340656,2979.057545615174,2007-02-15,2007-05-25,0.7022456801347439,4642.609162952253,Céu Azul,2007
3,17.116666666666667,27.506969696969698,22.311818181818182,216.36,81.8521212121212,105.36196049523096,86.43238582035801,33.680672478710676,18.92957467487294,110.6988257258518,11.3372589659468,2721.422044948981,2007-02-15,2007-05-25,0.820337676084437,4225.558187328409,Céu Azul,2007
4,12.093181818181819,21.871363636363636,16.98227272727273,167.13,85.77636363636363,32.92502353687296,28.184409591225105,47.22540544370949,4.740613945647858,125.40085744377608,10.767281050621165,1003.0003799017428,2007-02-15,2007-05-25,0.8560179026041148,4103.87724123243,Céu Azul,2007
1,20.152352941176474,30.28882352941176,25.220588235294116,66.53999999999999,78.87235294117647,20.62336973521666,18.5931697692521,18.438097431085,2.0301999659645613,36.71939946632956,12.401873731420384,1967.790281273606,2007-02-25,2007-06-04,0.9015582811135964,7217.398456281465,Céu Azul,2007
2,18.619285714285716,29.415,24.017142857142858,123.55000000000001,77.94464285714285,69.82926283772098,50.50160914274059,40.12405140537454,19.327653694980377,51.36243688296988,11.836262319476978,2768.734771216512,2007-02-25,2007-06-04,0.7232155559210657,4220.903027154429,Céu Azul,2007
3,15.293636363636363,25.651818181818182,20.472727272727273,215.25,82.98424242424242,94.78040094829049,78.9479878603762,41.02060834314409,15.832413087914285,135.40545520185424,11.112880549444812,2252.667112354714,2007-02-25,2007-06-04,0.8329568884546923,3868.3666395609866,Céu Azul,2007
4,8.916363636363636,19.185909090909092,14.051136363636363,114.92,84.84454545454545,27.59214519754057,25.196728804062715,42.704308787157906,2.3954163934778574,88.03957075192348,10.617417622163359,524.0529987649137,2007-02-25,2007-06-04,0.9131848438630509,3801.2000687992963,Céu Azul,2007
1,19.01,28.90352941176471,23.956764705882353,70.52000000000001,79.01,17.899065344761226,14.22816687585688,17.57896335086357,3.670898468904345,43.845746654943305,12.202178769907357,1825.4781174298835,2007-03-05,2007-06-12,0.7949111644548099,6405.6759491929715,Céu Azul,2007
2,18.6475,29.646428571428572,24.146964285714287,108.97,78.12607142857144,65.9781708784522,52.455881376821225,36.652552375710634,13.522289501630981,37.44052959833171,11.636740133453605,2665.2608679098007,2007-03-05,2007-06-12,0.7950490393778525,4436.401790361043,Céu Azul,2007
3,14.405151515151516,24.49878787878788,19.451969696969694,271.13,84.68333333333334,80.87046270646985,65.7918464771474,49.92,15.078616229322446,192.07070589856323,10.948397311534292,2060.039391885968,2007-03-05,2007-06-12,0.8135460621258928,4022.8094984587647,Céu Azul,2007
4,8.211818181818181,19.31409090909091,13.762954545454546,18.71,83.26818181818182,29.01522685672102,24.624260553646163,33.8835804048989,4.390966303074856,10.122159041454935,10.527236296497161,427.35224544131904,2007-03-05,2007-06-12,0.8486668284636301,3901.052594481085,Céu Azul,2007
1,18.65058823529412,29.709411764705884,24.18,53.87,76.92,18.299359478370242,12.518084339184192,9.589756800092147,5.781275139186051,38.97282552739033,11.949359435489162,1710.0045078610258,2007-03-15,2007-06-22,0.684072267883502,5540.580027351257,Céu Azul,2007
2,17.426785714285714,27.685357142857146,22.556071428571432,215.51,81.15964285714287,56.394351638493035,47.17731143841172,42.90546680841012,9.217040200081314,135.01697855327032,11.394253520466904,2365.1723377085978,2007-03-15,2007-06-22,0.8365609332798845,4182.259184213654,Céu Azul,2007
3,11.220606060606059,21.655454545454546,16.438030303030303,168.42000000000002,84.59212121212121,69.04335614944125,57.35050696993556,36.21217877773322,11.692849179505693,117.76278106074135,10.76767180316112,1316.9038246814166,2007-03-15,2007-06-22,0.8306448320067604,3828.115580846768,Céu Azul,2007
4,11.347727272727273,22.162272727272725,16.755,6.550000000000001,83.52454545454545,30.371492859493923,19.71347748205199,23.04870129568123,10.658015377441934,0.0,10.456855872783745,949.948516265317,2007-03-15,2007-06-22,0.6490783173962319,3559.441828680278,Céu Azul,2007
1,19.185882352941178,30.471176470588233,24.82852941176471,67.32000000000001,76.58529411764707,16.909419849489687,12.716684918823377,19.10839880195995,4.19273493066631,41.07827572343342,11.697503969702776,1691.8434796823367,2007-03-25,2007-07-02,0.75204738140127,5109.317527443989,Céu Azul,2007
2,16.306428571428572,26.487142857142857,21.396785714285716,213.74,83.26285714285714,51.088904490519326,39.36738456679525,49.91999999999997,11.721519923724077,143.56101423516472,11.164789137647796,2099.492272376883,2007-03-25,2007-07-02,0.7705662307576148,3350.942559577501,Céu Azul,2007
